movieId,title,genres
1,Federated Strategic Value Dividend Fund Class A,Adventure|Animation|Children|Comedy|Fantasy
2,Franklin U.S. Government Money Fund Class R,Adventure|Children|Fantasy
3,Fidelity Small Cap Enhanced Index Fund,Comedy|Romance
4,Franklin Utilities Series Fund - Class R,Comedy|Drama|Romance
5,Columbia Aggressive Track Ages 0-3 Class C,Comedy
6,Blackrock Total Factor Fund - Class K,Action|Crime|Thriller
7,Oklahomadream 529 Portfolio 2034 Class P,Comedy|Romance
8,Fidelity Value Discovery Fund Class K,Adventure|Children
9,Lkcm Fixed Income Fund,Action
10,Ironclad Managed Risk Fund,Action|Adventure|Thriller
11,Invesco Conservative Allocation Fund Class R6,Comedy|Drama|Romance
12,Eventide Healthcare & Life Sciences Fd Cl A,Comedy|Horror
13,The Hartford Short Duration Fd Cl R3,Adventure|Animation|Children
14,Janus Henderson Research Fund - R Shares,Drama
15,Woman IN Leadership U.S. Equity Portfolio,Action|Adventure|Romance
16,Massmutual Premier Diversified Bond Fund Class I,Crime|Drama
17,Hartford Municipal Income Fund Class F,Drama|Romance
18,Neuberger Berman Emerging Markets Equity Fd Inst,Comedy
19,Invesco Equity and Income Fund Class Y,Comedy
20,Pimco Funds Short-Term Fund Class C,Action|Comedy|Crime|Drama|Thriller
21,Fidelity Freedom Blend 2025 Fund,Comedy|Crime|Thriller
22,Vy Jpmorgan Mid Cap Value Portfolio S2,Crime|Drama|Horror|Mystery|Thriller
23,Jpmorgan Small Cap Value Fund R6,Action|Crime|Thriller
24,Wells Fargo Real Return Fund-I,Drama|Sci-Fi
25,Strategic Income Fund - Investor Class,Drama|Romance
26,Federated Short-Intermediate Duration Municipal,Drama
27,MFS Conservative Allocation Fund Class R1,Children|Drama
28,Blackrock College 2035 Option Class I,Drama|Romance
29,Vanguard Small Cap Index Fd Admiral Shs,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Nationwide Fund Class C,Crime|Drama
31,The Investment Company of America Class F-2 Shs,Drama
32,Massmutual Retiresmart 2025 Fund Class R3,Mystery|Sci-Fi|Thriller
33,Polen Capital Global Growth Fund- Institutional,Adventure|Romance|IMAX
34,The Hartford Conservative Allocation Fund Class,Children|Drama
35,PGIM Jennison Growth Fund Class R2,Drama|Romance
